Location,Establishment,Name,Price,Signifiers,Owner,address
Boulder,French Restaurant,Mateo,$$$,?,Matthew Jensen,
Denver,Tea shop,TeaLee's Tea House and Book store,$$,,Risë Jones,"611 22nd Street, Denver, CO, United States, Colorado"
